Date,Payee & Memo,Amount,Memo,Number
8/23/2023,Remote Online Deposit  1,3180.34,,
8/23/2023,Remote Online Deposit  1,2813.7,,
8/23/2023,Remote Online Deposit  1,875,,
8/23/2023,Remote Online Deposit  1,700,,
8/23/2023,Remote Online Deposit  1,650,,
8/23/2023,Remote Online Deposit  1,550,,
8/23/2023,Remote Online Deposit  1,500,,
8/23/2023,Remote Online Deposit  1,315,,
8/23/2023,Remote Online Deposit  1,95,,
8/23/2023,Remote Online Deposit  1,15,,
8/24/2023,Deposit  1200043960,20300,,
8/24/2023,Remote Online Deposit  1,3000,,
8/24/2023,Remote Online Deposit  1,3000,,
8/1/2023,Recurring Card Purchase 07/31 Blue Shield Californi 800-393-6130 CA Card 8832,-1584.27,,
8/1/2023,Card Purchase  07/31 Sq *Pack And Mail Exp Redwood City CA Card 8832,-33.32,,
8/1/2023,Card Purchase  07/31 Sq *Pack And Mail Exp Redwood City CA Card 8832,-14.16,,
8/1/2023,Card Purchase  07/31 Corporate Filings LLC 888-7898466 WY Card 8832,-49,,
8/1/2023,Recurring Card Purchase 08/01 Google *Gsuite Daily Cc@Google.Com CA Card 8832,-6,,
8/1/2023,Recurring Card Purchase 08/01 Google *Gsuite Qmeex Cc@Google.Com CA Card 8832,-6,,
8/1/2023,Recurring Card Purchase 08/01 Google *Gsuite Julym Cc@Google.Com CA Card 8832,-43.2,,
8/2/2023,Card Purchase  08/02 Kaanapalishorsrestaura Lahaina HI Card 8832,-62,,
8/3/2023,Card Purchase  08/03 Dd Doordash Honokowai 855-973-1040 CA Card 8832,-36.21,,
8/4/2023,Card Purchase  08/02 Hula Grill Kaanapali Lahaina HI Card 8832,-130,,
8/4/2023,Card Purchase  08/04 Dd Doordash Llhawaiia 855-973-1040 CA Card 8832,-16.82,,
8/7/2023,Card Purchase  08/03 Monkeypod Kaanapali Lahaina HI Card 8832,-145.85,,
8/7/2023,Card Purchase  08/05 Dd Doordash Bipolarea 855-973-1040 CA Card 8832,-46.65,,
8/7/2023,Card Purchase  08/06 Dd Doordash Honokowai 855-973-1040 CA Card 8832,-53.55,,
8/7/2023,Card Purchase  08/06 Tst* Lahaina Fish CO. Lahaina HI Card 8832,-184.05,,
